Yes/No,Site,Site Code,City,Country/Region,State/Province,ZIP/Postal Code,3 Digit Zip
,11500 C STREETS SUPERVISORS,0072773001,ANCHORAGE,USA,AK,99515,995
,1233 PURCELL AK RR OOS,0072829004,ANCHORAGE,USA,AK,99501,995
,1233 PURCELL AK RR WHIT,0072829003,ANCHORAGE,USA,AK,99501,995
,9TH AVE SEC PM,0072877001,ANCHORAGE,USA,AK,99515,995
,ACDA SECURITY,0072870001,ANCHORAGE,USA,AK,99515,995
,ACDA SECURITY OOS,0072870003,ANCHORAGE,USA,AK,99515,995
,ACDA SECURITY OOS UOT,0072870004,ANCHORAGE,USA,AK,99515,995
,ACDA SECURITY UOT,0072870002,ANCHORAGE,USA,AK,99515,995
,ACS BUILDING MGMT,0072827009,KODIAK,USA,AK,99615,996
,ACS HFM 177 3015,0053863002,ANCHORAGE,USA,AK,99508,995
,ACS HFM CONTRACT YR 1,0072850001,ANCHORAGE,USA,AK,99515,995
,ACS HFM OOS 02,0072850002,ANCHORAGE,USA,AK,99515,995
,ACS HFM OOS 03,0072850003,ANCHORAGE,USA,AK,99515,995
,ACS HFM OOS 04,0072850004,ANCHORAGE,USA,AK,99515,995
,ACS HFM OOS 05,0072850005,ANCHORAGE,USA,AK,99515,995
,ACS JANITORIAL CONTRACT,0072827001,ANCHORAGE,USA,AK,99501,995
,ACS JNT CONTRACT FAIRBANK,0072827002,FAIRBANKS,USA,AK,99701,997
,ACS JNT CONTRACT HOMER,0072827007,HOMER,USA,AK,99603,996
,ACS JNT CONTRACT JUNEAU,0072827003,JUNEAU,USA,AK,99801,998
,ACS JNT CONTRACT KENAI/SO,0072827006,SOLDOTNA,USA,AK,99669,996
,ACS JNT CONTRACT KETCHIKA,0072827005,KETCHIKAN,USA,AK,99901,999
,ACS JNT CONTRACT KODIAK,0072827008,KODIAK,USA,AK,99615,996
,ACS JNT CONTRACT SITKA,0072827004,SITKA,USA,AK,99835,998
,AFE0192 LABOR,0072871008,ANCHORAGE,USA,AK,99515,995
,AFE0192 LABOR UOT,0072871009,ANCHORAGE,USA,AK,99515,995
,AK AIR IN-FLIGHT SVCS - JNU,0044771001,JUNEAU,USA,AK,99801,998
,AK MARITIME - WILDLIFE,0072873001,ANCHORAGE,USA,AK,99515,995
,AK MARITIME-WILDLIFE UOT,0072873002,ANCHORAGE,USA,AK,99515,995
,AKAIR HFM OPS FY15,0072851002,ANCHORAGE,USA,AK,99515,995
,AKAIR HFM OPS STARTUP,0072851001,ANCHORAGE,USA,AK,99515,995
,AKAIR OCT-14 SEPT-15 BRD,0072851003,ANCHORAGE,USA,AK,99515,995
,AKAIR OCT-14 SEPT-15 CRP,0072851004,ANCHORAGE,USA,AK,99515,995
,AKAIR OCT-14 SEPT-15 MAIN,0072851005,ANCHORAGE,USA,AK,99515,995
,AKAIROOS-FAC MAINT SUPER,0072851006,ANCHORAGE,USA,AK,99515,995
,AKLNG NIKISKI,0072879001,ANCHORAGE,USA,AK,99515,995
,ALASKA NATIVE MEDICAL CTR-EVS,0053873001,ANCHORAGE,USA,AK,99508,995
,ALDRICH SVS JANITORIAL,0072860001,ANCHORAGE,USA,AK,99515,995
,ALPINE FDS REGULAR TIME,0072842001,ANCHORAGE,USA,AK,99515,995
,ALPINE FDS REIMBURSABLES,0072842003,ANCHORAGE,USA,AK,99515,995
,ALPINE FDS UOT,0072842002,ANCHORAGE,USA,AK,99515,995
,ALPINE HSK REGULAR TIME,0072842004,ANCHORAGE,USA,AK,99515,995
,ALPINE HSK REIMBURSABLES,0072842006,ANCHORAGE,USA,AK,99515,995
,ALPINE HSK UOT,0072842005,ANCHORAGE,USA,AK,99515,995
,ALPINE LABOR 4521884593,0072828002,ANCHORAGE,USA,AK,99515,995
,ALPINE NON-BILLABLE,0072842007,ANCHORAGE,USA,AK,99515,995
,ALPS,0064444018,ANCHORAGE,USA,AK,99515,995
,ALPS,0072788001,ANCHORAGE,USA,AK,99507,995
,ALYESKA ANCHORAGE,0072838012,ANCHORAGE,USA,AK,99515,995
,ALYESKA DIRECT COST CODE,0072838017,ANCHORAGE,USA,AK,99515,995
,ALYESKA FAIRBANKS,0072838008,ANCHORAGE,USA,AK,99515,995
,ALYESKA GLENNALLEN,0072838011,ANCHORAGE,USA,AK,99515,995
,ALYESKA GLENNALLEN 217110,0053860139,ANCHORAGE,USA,AK,99508,995
,ALYESKA IMT BERTH 5,0072838018,ANCHORAGE,USA,AK,99515,995
,ALYESKA LINE MGRS,0072838015,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 1,0072838002,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 10,0072838010,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 10 217100,0053872002,ANCHORAGE,USA,AK,99508,995
,ALYESKA PUMP 3,0072838003,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 4,0072838004,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 5,0072838005,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 6,0072838006,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 7,0072838007,ANCHORAGE,USA,AK,99515,995
,ALYESKA PUMP 9,0072838009,ANCHORAGE,USA,AK,99515,995
,ALYESKA SPO 20302529,0072838019,ANCHORAGE,USA,AK,99515,995
,ALYESKA SUPPORT,0072838014,ANCHORAGE,USA,AK,99515,995
,ALYESKA TRANSITION&NONBIL,0072838001,ANCHORAGE,USA,AK,99515,995
,ALYESKA VALDEZ,0072838013,ANCHORAGE,USA,AK,99515,995
,ALYESKA VALDEZ CAFE,0072838016,ANCHORAGE,USA,AK,99515,995
,ANCHORAGE ADMIN OFFICE,0064444019,ANCHORAGE,USA,AK,99515,995
,ANTHC PATIENT HOUSING HSK 177.,0053865005,ANCHORAGE,USA,AK,99508,995
,API CATERING,0072818003,ANCHORAGE,USA,AK,99508,995
,API COFFEE KIOSK,0072818004,ANCHORAGE,USA,AK,99508,995
,API DAY CART,0072818002,ANCHORAGE,USA,AK,99508,995
,API PATIENT MEALS,0072818001,ANCHORAGE,USA,AK,99508,995
,APU WO FOR SECURITY,0072881001,ANCHORAGE,USA,AK,99515,995
,ARH BILLABLE,0072786001,ANCHORAGE,USA,AK,99508,995
,ARH NON-BILL,0072786002,ANCHORAGE,USA,AK,99508,995
,ASRC BILLABLE,0072790001,ANCHORAGE,USA,AK,99503,995
,ASRC NON-BILL,0072790002,ANCHORAGE,USA,AK,99503,995
,ATM JUNEAU MONITORING,0072878002,ANCHORAGE,USA,AK,99515,995
,ATM KETCH MONITORING,0072878001,ANCHORAGE,USA,AK,99515,995
,BADAMI GLACIER OIL GAS,0072837003,ANCHORAGE,USA,AK,99515,995
,BADAMI UNIT REDEV LABOR,0072837001,ANCHORAGE,USA,AK,99515,995
,BADAMI UNIT REDEV SUPPLY,0072837002,ANCHORAGE,USA,AK,99515,995
,BBAHC  - DILLINGHAM RTL,0072857002,ANCHORAGE,USA,AK,99515,995
,BBAHC - DILLINGHAM FDS,0072857001,ANCHORAGE,USA,AK,99515,995
,BBAHC SECURITY,0072893001,ANCHORAGE,USA,AK,99515,995
,BBNC OOS SEC,0072864002,ANCHORAGE,USA,AK,99515,995
,BEARHAZ WESTSTAINES UOT,0072862006,ANCHORAGE,USA,AK,99515,995
,BELUGA BILLABLE,0072762001,ANCHORAGE,USA,AK,99515,995
,BELUGA NON-BILL,0072762002,ANCHORAGE,USA,AK,99515,995
,BP ENERGY CENTER WO1,0072845001,ANCHORAGE,USA,AK,99515,995
,BP WOA BOC,0053865003,ANCHORAGE,USA,AK,99508,995
,BP WOA NCS OPS,0053865006,ANCHORAGE,USA,AK,99508,995
,BRISTOL BAY LODGES,0064444016,ANCHORAGE,USA,AK,99515,995
,BRISTOL BAY ROVING SEC,0072864001,ANCHORAGE,USA,AK,99515,995
,BUSINESS DEVELOP - SHEPPARD,0070305684,ANCHORAGE,USA,AK,99515,995
,BUSINESS DEVELOPMENT,0070305689,ANCHORAGE,USA,AK,99515,995
,CBRE BILLABLE,0072787001,ANCHORAGE,USA,AK,99508,995
,CBRE NON-BILL,0072787002,ANCHORAGE,USA,AK,99508,995
,CHEVRON SURPUW USA-AK-0001-2,0072001065,ANCHORAGE,USA,AK,99501,995
,CHQ - 334,0072784001,ANCHORAGE,USA,AK,99503,995
,CHQ - 350,0072784003,ANCHORAGE,USA,AK,99503,995
,CHQ - 351,0072784004,ANCHORAGE,USA,AK,99503,995
,CHQ - 352,0072784005,ANCHORAGE,USA,AK,99503,995
,CHQ NON-BILLABLE,0072784002,ANCHORAGE,USA,AK,99503,995
,CIRI BILLABLE,0072791001,ANCHORAGE,USA,AK,99501,995
,CIRI NON-BILL,0072791002,ANCHORAGE,USA,AK,99501,995
,CITC - ES/JNT - NMS,0053912001,ANCHORAGE,USA,AK,99508,995
,CITC MONITORING,0072888002,ANCHORAGE,USA,AK,99515,995
,CITC PHYSICAL SECURITY,0072888001,ANCHORAGE,USA,AK,99515,995
,COP WILLOW,0064444023,ANCHORAGE,USA,AK,99515,995
,COVENANT HOUSE,0072853001,ANCHORAGE,USA,AK,99501,995
,CPAI KUPARUK FACILITIES,0064444010,ANCHORAGE,USA,AK,99515,995
,CPAI RIG DC1,0064444024,ANCHORAGE,USA,AK,99515,995
,CPAI TOWER MAINTENANCE,0064444017,ANCHORAGE,USA,AK,99515,995
,CREDIT UNION 1 DOWNTOWN,0072884001,ANCHORAGE,USA,AK,99515,995
,CREDIT UNION 1 MIDTOWN,0072884002,ANCHORAGE,USA,AK,99515,995
,CREDIT UNION 1 OLD SEWARD,0072884003,ANCHORAGE,USA,AK,99515,995
,CS IEP BIWEEK SEVERANCE ALASKA,0070302805,ANCHORAGE,USA,AK,99518,995
,CS IEP-LUMP SUM/BW ALASKA,0070302570,ANCHORAGE,USA,AK,99518,995
,CS NMS TEMP RIG NORDIC 2,0053911004,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG AFOGNAK BRN BEAR,0053911001,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG AFOGNAK BRN BEAR,0053911010,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG AFOGNAK SEA LION,0053911002,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG DOYON 5 - 25,0053911008,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG DOYON DC 1 - 19,0053911006,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG DOYON DC 2 - 141,0053911007,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG DOYON DC 4 - 16,0053911009,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG NABORS AK W/ ANNEX,0053911005,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG NORDIC 6,0053911003,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG PEAK CANNING RIVER,0053911011,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG STALLION RC - 26,0053911014,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG STALLION RC - 33,0053911012,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG STALLION RC - 34,0053911013,ANCHORAGE,USA,AK,99515,995
,CS TEMP RIG STALLION RC - 41,0053911015,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE MAINTENANCE,0064444013,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE MTNC BILLABLE,0072770001,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE MTNC NON-BILL,0072770002,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE SECURITY BILLABLE,0072789001,ANCHORAGE,USA,AK,99515,995
,DFOC OFFICE SECURITY NON-BILL,0072789002,ANCHORAGE,USA,AK,99515,995
,DIMOND CTR COVID AMEND 3,0072852002,ANCHORAGE,USA,AK,99515,995
,DIMOND CTR JANITORIAL,0072852001,ANCHORAGE,USA,AK,99515,995
,DL PLAZA BUILDING BILLABLE,0072777001,FAIRBANKS,USA,AK,99701,997
,DL PLAZA BUILDING NON-BILL,0072777002,FAIRBANKS,USA,AK,99701,997
,DOYON RIG 14 BILLABLE,0072760001,ANCHORAGE,USA,AK,99515,995
,DOYON RIG 14 NON-BILL,0072760002,ANCHORAGE,USA,AK,99515,995
,DOYON RIG DC 3,0064444002,ANCHORAGE,USA,AK,99515,995
,DVS ACDA,0072867015,ANCHORAGE,USA,AK,99515,995
,DVS ACS,0072867008,ANCHORAGE,USA,AK,99515,995
,DVS APU,0072867007,ANCHORAGE,USA,AK,99515,995
,DVS CREDIT UNION 1,0072867013,ANCHORAGE,USA,AK,99515,995
,DVS CU 1 MONITORING,0072867014,ANCHORAGE,USA,AK,99515,995
,DVS DIRECT ADMIN,0072874001,ANCHORAGE,USA,AK,99515,995
,DVS FIRST BANK,0072867010,ANCHORAGE,USA,AK,99515,995
,DVS FIRST BANK MONITORING,0072867011,ANCHORAGE,USA,AK,99515,995
,DVS FNBA,0072867004,ANCHORAGE,USA,AK,99515,995
,DVS FNBA MONITORING,0072867005,ANCHORAGE,USA,AK,99515,995
,DVS LEMONTREE,0072867012,ANCHORAGE,USA,AK,99515,995
,DVS NDC,0072867003,ANCHORAGE,USA,AK,99515,995
,DVS SCF,0072867002,ANCHORAGE,USA,AK,99515,995
,EAST CAMP BILLABLE,0072765001,ANCHORAGE,USA,AK,99515,995
,EAST CAMP NON-BILL,0072765002,ANCHORAGE,USA,AK,99515,995
,EKUK FISHERIES HOTEL SEC,0072892001,ANCHORAGE,USA,AK,99515,995
,EMPIREBLDG SEARHC,0072848008,SITKA,USA,AK,99835,998
,ENDICOTT FDS LABOR,0072839001,ANCHORAGE,USA,AK,99515,995
,ENDICOTT FDS LABOR UOT,0072839004,ANCHORAGE,USA,AK,99515,995
,ENDICOTT HSK LABOR,0072839002,ANCHORAGE,USA,AK,99515,995
,ENDICOTT HSK LABOR UOT,0072839005,ANCHORAGE,USA,AK,99515,995
,ENDICOTT MNT LABOR,0072839003,ANCHORAGE,USA,AK,99515,995
,ENDICOTT MNT LABOR UOT,0072839006,ANCHORAGE,USA,AK,99515,995
,ENDICOTT SEC LABOR UOT,0072871004,ANCHORAGE,USA,AK,99515,995
,ENDICOTT SECURITY LABOR,0072871003,ANCHORAGE,USA,AK,99515,995
,ENI NOC 177 2016 0001,0053896006,ANCHORAGE,USA,AK,99508,995
,ENI SID 177 2016 0002,0053896004,ANCHORAGE,USA,AK,99508,995
,ERM - WORK ORDER #001,0072843001,ANCHORAGE,USA,AK,99508,995
,ERM - WORK ORDER #002,0072843002,ANCHORAGE,USA,AK,99508,995
,EXPRESS CLINIC SEARHC,0072848009,SITKA,USA,AK,99835,998
,EXXON P&GA,0072876001,ANCHORAGE,USA,AK,99515,995
,EXXON SEC COST REIMB,0072862002,ANCHORAGE,USA,AK,99515,995
,EXXON SEC DRILLS VDZ,0072862005,ANCHORAGE,USA,AK,99515,995
,EXXON SEC LABOR REIMB,0072862001,ANCHORAGE,USA,AK,99515,995
,EXXON/NORTH SLOPE SEC,0072875001,ANCHORAGE,USA,AK,99515,995
,EXXON/NORTH SLOPE SEC,0072875003,ANCHORAGE,USA,AK,99515,995
,EXXON/NORTH SLOPE UNBILLA,0072875002,ANCHORAGE,USA,AK,99515,995
,FBU - 011,0072781001,ANCHORAGE,USA,AK,99515,995
,FBU - 012,0072781003,ANCHORAGE,USA,AK,99515,995
,FBU - 114,0072781004,ANCHORAGE,USA,AK,99515,995
,FBU - 116,0072781005,ANCHORAGE,USA,AK,99515,995
,FBU - 119,0072781006,ANCHORAGE,USA,AK,99515,995
,FBU - 302,0072781007,ANCHORAGE,USA,AK,99515,995
,FBU - 304,0072781008,ANCHORAGE,USA,AK,99515,995
,FBU - 402 D,0072781009,ANCHORAGE,USA,AK,99515,995
,FBU - 402 N,0072781010,ANCHORAGE,USA,AK,99515,995
,FBU - 404,0072781011,ANCHORAGE,USA,AK,99515,995
,FBU - 409,0072781012,ANCHORAGE,USA,AK,99515,995
,FBU - 502 D,0072781013,ANCHORAGE,USA,AK,99515,995
,FBU - 502 N,0072781014,ANCHORAGE,USA,AK,99515,995
,FBU - 504,0072781015,ANCHORAGE,USA,AK,99515,995
,FBU - 509,0072781016,ANCHORAGE,USA,AK,99515,995
,FBU - 602,0072781017,ANCHORAGE,USA,AK,99515,995
,FBU - 603,0072781018,ANCHORAGE,USA,AK,99515,995
,FBU - 604,0072781019,ANCHORAGE,USA,AK,99515,995
,FBU - 702 D,0072781020,ANCHORAGE,USA,AK,99515,995
,FBU - 702 N,0072781021,ANCHORAGE,USA,AK,99515,995
,FBU - 801,0072781022,ANCHORAGE,USA,AK,99515,995
,FBU - 804,0072781023,ANCHORAGE,USA,AK,99515,995
,FBU - 805,0072781024,ANCHORAGE,USA,AK,99515,995
,FBU - 806,0072781025,ANCHORAGE,USA,AK,99515,995
,FBU - 808,0072781026,ANCHORAGE,USA,AK,99515,995
,FBU - 809,0072781027,ANCHORAGE,USA,AK,99515,995
,FBU - 820,0072781028,ANCHORAGE,USA,AK,99515,995
,FBU - 821,0072781029,ANCHORAGE,USA,AK,99515,995
,FBU - 902,0072781030,ANCHORAGE,USA,AK,99515,995
,FBU - 903,0072781031,ANCHORAGE,USA,AK,99515,995
,FBU - 904,0072781032,ANCHORAGE,USA,AK,99515,995
,FBU - 906,0072781033,ANCHORAGE,USA,AK,99515,995
,FBU - 909,0072781034,ANCHORAGE,USA,AK,99515,995
,FBU - 999T,0072781035,ANCHORAGE,USA,AK,99515,995
,FBU NON-BILLABLE,0072781002,ANCHORAGE,USA,AK,99515,995
,FEDEX SECURITY NON-BILL,0072869001,ANCHORAGE,USA,AK,99515,995
,FEDEX STANDARD SEC,0072869002,ANCHORAGE,USA,AK,99515,995
,FEDEX UNSCHEDULED OT,0072869003,ANCHORAGE,USA,AK,99515,995
,FIELD OPERATIONS ASST LBR,0072871001,ANCHORAGE,USA,AK,99515,995
,FIELD OPERATIONS ASST UOT,0072871002,ANCHORAGE,USA,AK,99515,995
,FINANCE,0070305686,ANCHORAGE,USA,AK,99515,995
,FINANCE - BOURNE,0070305660,ANCHORAGE,USA,AK,99515,995
,FINANCE - BRYANT,0070305665,ANCHORAGE,USA,AK,99515,995
,FINANCE - HILLMER,0070305662,ANCHORAGE,USA,AK,99515,995
,FINANCE - HOFELDT,0070305661,ANCHORAGE,USA,AK,99515,995
,FINANCE - SMART,0070305663,ANCHORAGE,USA,AK,99515,995
,FINANCE - ST DENIS,0070305666,ANCHORAGE,USA,AK,99515,995
,FINANCE - WYATT,0070305664,ANCHORAGE,USA,AK,99515,995
,FIRST BANK - JUNEAU,0072885002,ANCHORAGE,USA,AK,99515,995
,FIRST BANK - KETCHIKAN,0072885001,ANCHORAGE,USA,AK,99515,995
,FR BELL BEAR GUARD 2019,0072886001,ANCHORAGE,USA,AK,99515,995
,GLACIER OIL BADAMI,0064444021,ANCHORAGE,USA,AK,99515,995
,GOLD & DIAMOND,0072887001,ANCHORAGE,USA,AK,99515,995
,HILCORP ANC BLDG CAFE,0072847002,ANCHORAGE,USA,AK,99515,995
,HILCORP ANC BLDG CATERING,0072847003,ANCHORAGE,USA,AK,99515,995
,HILCORP ANCHORAGE FAC,0072847001,ANCHORAGE,USA,AK,99515,995
,HILCORP BELUGA,0064444006,ANCHORAGE,USA,AK,99515,995
,HILCORP PLATFORM,0064444012,ANCHORAGE,USA,AK,99515,995
,HILCORP TYONEK,0064444003,ANCHORAGE,USA,AK,99515,995
,HOME HEALTH CLINIC SEARHC,0072848010,SITKA,USA,AK,99835,998
,HORIZON CAF,0072769001,ANCHORAGE,USA,AK,99501,995
,HORIZON CAFA,0064444008,ANCHORAGE,USA,AK,99515,995
,HR - GILLILAND,0070305670,ANCHORAGE,USA,AK,99515,995
,HR - HARBRIDGE,0070305668,ANCHORAGE,USA,AK,99515,995
,HR - OVOD-EVERETT,0070305667,ANCHORAGE,USA,AK,99515,995
,HR - POOLE,0070305669,ANCHORAGE,USA,AK,99515,995
,HUMAN RESOURCES,0070305688,ANCHORAGE,USA,AK,99515,995
,IN-FLIGHT SERVICES CATERI,0072823001,FAIRBANKS,USA,AK,99701,997
,IN-FLIGHT SERVICES JANITO,0072823002,FAIRBANKS,USA,AK,99701,997
,JUNEAU AIRPORT FLEET SVCS,0072855001,JUNEAU,USA,AK,99801,998
,JUNEAU PIONEER ADMIN,0072820011,JUNEAU,USA,AK,99801,998
,JUNEAU SCHOOL DISTRICT,0053895001,JUNEAU,USA,AK,99801,998
,KRU COMMISSARY,0072767006,ANCHORAGE,USA,AK,99515,995
,KRU FAC - CA23CAMPC BILLABLE,0072767001,ANCHORAGE,USA,AK,99515,995
,KRU FAC - CA23CAMPC NON-BILL,0072767002,ANCHORAGE,USA,AK,99515,995
,KRU FAC - CASPROJ,0072767005,ANCHORAGE,USA,AK,99515,995
,KRU FAC - CGGCOVID,0072767004,ANCHORAGE,USA,AK,99515,995
,KRU FAC - CKSAF93,0072767003,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CA23AVIAR,0072775005,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CA23CAMPS BILLABLE,0072775001,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CA23CAMPS NON-BILL,0072775002,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CA23HESTR,0072775009,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CASPROJ,0072775011,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CGGECOVID,0072775010,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CK85335,0072775003,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CK85339,0072775004,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CKFIR90,0072775007,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CKRUEMT,0072775008,ANCHORAGE,USA,AK,99515,995
,KRU SEC - CKSAF93,0072775006,ANCHORAGE,USA,AK,99515,995
,KUPARUK COMMISSARY,0064444009,ANCHORAGE,USA,AK,99515,995
,LAKE OTIS CONTRACT,0072817001,ANCHORAGE,USA,AK,99508,995
,LDG NULLAGVIK LLC,0053897602,ANCHORAGE,USA,AK,99508,995
,LKSD - FOOD - 341101,0053869001,ATMAUTLUAK,USA,AK,99559,995
,MANIILAQ FDS,0053883001,ANCHORAGE,USA,AK,99518,995
,MANIILAQ HSK,0053884001,ANCHORAGE,USA,AK,99518,995
,MANIILAQ SENIOR FDS 177 3002,0053889001,ANCHORAGE,USA,AK,99508,995
,MANIILAQ SENIOR HSK 177 3002,0053892001,ANCHORAGE,USA,AK,99508,995
,MARLOW MANOR LABOR REIMB,0072821001,ANCHORAGE,USA,AK,99504,995
,MATSON KODIAK SECTY BILLABLE,0072795001,KODIAK,USA,AK,99615,996
,MATSON KODIAK SECTY NON-BILL,0072795002,KODIAK,USA,AK,99615,996
,MATSON SCREENING BILLABLE,0072793001,ANCHORAGE,USA,AK,99501,995
,MATSON SCREENING NON-BILL,0072793002,ANCHORAGE,USA,AK,99501,995
,MATSON SHUTTLE - TOTE BILLABLE,0072794001,ANCHORAGE,USA,AK,99501,995
,MATSON SHUTTLE - TOTE NON-BILL,0072794002,ANCHORAGE,USA,AK,99501,995
,MEA BILLABLE,0072796001,ANCHORAGE,USA,AK,99515,995
,MEA NON-BILL,0072796002,ANCHORAGE,USA,AK,99515,995
,MILNE POINT FDS COST REIM,0072839011,ANCHORAGE,USA,AK,99515,995
,MILNE POINT FDS LABOR,0072839007,ANCHORAGE,USA,AK,99515,995
,MILNE POINT FDS LABOR UOT,0072839009,ANCHORAGE,USA,AK,99515,995
,MILNE POINT HSK COST REIM,0072839012,ANCHORAGE,USA,AK,99515,995
,MILNE POINT MNT COST REIM,0072839013,ANCHORAGE,USA,AK,99515,995
,MILNE POINT MTC LABOR,0072839008,ANCHORAGE,USA,AK,99515,995
,MILNE POINT MTC LABOR UOT,0072839010,ANCHORAGE,USA,AK,99515,995
,MILNE POINT SEC COST REIM,0072871006,ANCHORAGE,USA,AK,99515,995
,MILNE POINT SEC LABOR,0072871005,ANCHORAGE,USA,AK,99515,995
,MILNE POINT SEC LABOR UOT,0072871007,ANCHORAGE,USA,AK,99515,995
,MISC FACILITIES WORK,0064444011,ANCHORAGE,USA,AK,99515,995
,MISC FACILITY PROJECT BILLABLE,0072774001,ANCHORAGE,USA,AK,99515,995
,MISC FACILITY PROJECT NON-BILL,0072774002,ANCHORAGE,USA,AK,99515,995
,MISC. SECURITY PROJ BILLABLE,0072798001,ANCHORAGE,USA,AK,99515,995
,MISC. SECURITY PROJ NON-BILL,0072798002,ANCHORAGE,USA,AK,99515,995
,MONITORING LABOR,0072867001,ANCHORAGE,USA,AK,99515,995
,MPC N. POLE AK TERM BILLABLE,0072778001,NORTH POLE,USA,AK,99705,997
,MPC N. POLE AK TERM NON-BILL,0072778002,NORTH POLE,USA,AK,99705,997
,MRT LABOR,0072839014,ANCHORAGE,USA,AK,99515,995
,MRT LABOR UOT,0072839015,ANCHORAGE,USA,AK,99515,995
,MUSEUM COFFEE KIOSK EXP,0072859001,ANCHORAGE,USA,AK,99501,995
,MUSEUM COFFEE KIOSK RETAI,0072859002,ANCHORAGE,USA,AK,99501,995
,MVFCU DVS MONITORING,0072867009,ANCHORAGE,USA,AK,99515,995
,NANA - ADMIN CHARGE,0012647001,ANCHORAGE,USA,AK,99508,995
,NANA CONST JNT 177 3019,0061112002,ANCHORAGE,USA,AK,99508,995
,NANA CONTRACT SERVICES,0053861001,ANCHORAGE,USA,AK,99508,995
,NANA CONTRACT SERVICES,0062895001,ANCHORAGE,USA,AK,99508,995
,NANA CS TRANSFER UNIT,0053866001,ANCHORAGE,USA,AK,99508,995
,NANA HOTELS,0070307047,ANCHORAGE,USA,AK,99515,995
,NANA-ALASKA AIRLINES INFLIGHT,0053860140,FAIRBANKS,USA,AK,99775,997
,NANA-MANAGEMENT SERVICES,0053860001,ANCHORAGE,USA,AK,99515,995
,NANA-MARLOW MANOR,0053860136,ANCHORAGE,USA,AK,99504,995
,NCC MONITORING,0072889001,ANCHORAGE,USA,AK,99515,995
,NDC 9TH JNT 177 3013,0053900001,ANCHORAGE,USA,AK,99508,995
,NIKAITCHUQ OPERATIONS CENTER,0064444025,ANCHORAGE,USA,AK,99515,995
,NMS - BBAHC FOOD,0020345001,DILLINGHAM,USA,AK,99576,995
,NMS - CAMPS - MANH CHOH MINE,0098571001,TOK,USA,AK,99780,997
,NMS - CAMPS - RED DOG #66 FOOD,0053868009,ANCHORAGE,USA,AK,99515,995
,NMS - CAMPS SLB-FOOD,0054897002,ANCHORAGE,USA,AK,99515,995
,NMS - CAMPS SLB-HSKP,0054897003,ANCHORAGE,USA,AK,99515,995
,NMS - CAMPS SLB-MAINT,0054897004,ANCHORAGE,USA,AK,99515,995
,NMS - CMS POGO LOWER - FAC,0098571015,ANCHORAGE,USA,AK,99515,995
,NMS - CMS POGO LOWER - FOOD,0098571013,ANCHORAGE,USA,AK,99515,995
,NMS - CMS POGO LOWER - HSKP,0098571014,ANCHORAGE,USA,AK,99515,995
,NMS - CMS POGO UPPER - FAC,0098571012,ANCHORAGE,USA,AK,99515,995
,NMS - CMS POGO UPPER - FOOD,0098571009,ANCHORAGE,USA,AK,99515,995
,NMS - CMS POGO UPPER - HSKP,0098571011,ANCHORAGE,USA,AK,99515,995
,NMS - FFM - BSSD - K12,0096325002,ANCHORAGE,USA,AK,99515,995
,NMS - FFM - CHESTER CREEK PARK,0096325001,ANCHORAGE,USA,AK,99504,995
,NMS - FFM - ILISAGVIK COLLEGE,0011154001,ANCHORAGE,USA,AK,99515,995
,NMS - FFM AT&T-HSKP FBX,0054897001,ANCHORAGE,USA,AK,99515,995
,NMS - FFM EMERALD VIEW SR LVG,0051512001,ANCHORAGE,USA,AK,99515,995
