metro_key,metro_name,area_key,area_name,city,state
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Plano,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Mckinney,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Frisco,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Allen,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Prosper,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Carrollton,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Denton,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Lewisville,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Flower Mound,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,The Colony,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Little Elm,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Celina,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Princeton,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Wylie,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Murphy,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Parker,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Sachse,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Rowlett,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Rockwall,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Heath,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Lavon,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Farmersville,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Anna,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Van Alstyne,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Pilot Point,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Aubrey,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Krum,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Lake Dallas,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Corinth,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Highland Village,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Argyle,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Southlake,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Keller,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,North Richland Hills,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Haltom City,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Watauga,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Saginaw,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Blue Mound,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Roanoke,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Trophy Club,TX
dallas_fort_worth,Dallas–Fort Worth,north_dfw,North DFW,Westlake,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Duncanville,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Lancaster,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Cedar Hill,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Desoto,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Waxahachie,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Midlothian,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Mansfield,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Arlington,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Grand Prairie,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Corsicana,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Ennis,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Red Oak,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Glenn Heights,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Ovilla,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Ferris,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Hutchins,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Wilmer,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Balch Springs,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Sunnyvale,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Mesquite,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Seagoville,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Terrell,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Forney,TX
dallas_fort_worth,Dallas–Fort Worth,south_dfw,South DFW,Crandall,TX
